time,latitude,longitude
00:00,45.0703000,7.6869000
00:30,45.0629045,7.6866848
01:00,45.0555091,7.6864696
01:30,45.0481136,7.6862544
02:00,45.0407181,7.6860392
02:30,45.0333227,7.6858239
03:00,45.0259272,7.6856087
03:30,45.0185317,7.6853935
04:00,45.0111362,7.6851783
04:30,45.0037408,7.6849631
05:00,44.9963453,7.6847479
05:30,44.9890231,7.6860028
06:00,44.9817218,7.6876785
06:30,44.9744206,7.6893541
07:00,44.9671193,7.6910297
07:30,44.9598180,7.6927053
08:00,44.9525168,7.6943809
08:30,44.9452155,7.6960565
09:00,44.9379142,7.6977322
09:30,44.9306130,7.6994078
10:00,44.9233117,7.7010834
10:30,44.9233117,7.7010834
11:00,44.9233117,7.7010834
11:30,44.9233117,7.7010834
12:00,44.9233117,7.7010834
12:30,44.9160105,7.7027590
13:00,44.9087092,7.7044346
13:30,44.9014079,7.7061102
14:00,44.8941067,7.7077859
14:30,44.8868054,7.7094615
15:00,44.8795041,7.7111371
15:30,44.8722029,7.7128127
16:00,44.8649016,7.7144883
16:30,44.8576004,7.7161639
17:00,44.8502991,7.7178396
17:30,44.8429120,7.7181386
18:00,44.8355157,7.7182920
18:30,44.8281195,7.7184453
19:00,44.8207233,7.7185986
19:30,44.8133270,7.7187519
20:00,44.8059308,7.7189052
20:30,44.7985346,7.7190585
21:00,44.7911383,7.7192118
21:30,44.7837421,7.7193652
22:00,44.7763459,7.7195185
22:30,44.7689497,7.7196718
23:00,44.7615534,7.7198251
23:30,44.7541572,7.7199784
24:00,44.7467610,7.7201317
24:30,44.7393647,7.7202851
25:00,44.7319685,7.7204384
25:30,44.7245723,7.7205917
26:00,44.7171760,7.7207450
26:30,44.7097798,7.7208983
27:00,44.7023836,7.7210516
27:30,44.6949874,7.7212049
28:00,44.6875911,7.7213583
28:30,44.6801949,7.7215116
29:00,44.6727987,7.7216649
29:30,44.6654024,7.7218182
30:00,44.6580062,7.7219715
30:30,44.6506100,7.7221248
31:00,44.6432137,7.7222782
31:30,44.6358175,7.7224315
32:00,44.6284213,7.7225848
32:30,44.6284213,7.7225848
33:00,44.6284213,7.7225848
33:30,44.6284213,7.7225848
34:00,44.6284213,7.7225848
34:30,44.6284213,7.7225848
35:00,44.6284213,7.7225848
35:30,44.6284213,7.7225848
36:00,44.6210251,7.7227381
36:30,44.6136288,7.7228914
37:00,44.6062326,7.7230447
37:30,44.5988364,7.7231980
38:00,44.5914401,7.7233514
38:30,44.5840439,7.7235047
39:00,44.5766477,7.7236580
39:30,44.5692514,7.7238113
40:00,44.5618552,7.7239646
40:30,44.5544590,7.7241179
41:00,44.5477898,7.7212367
41:30,44.5419580,7.7148604
42:00,44.5361262,7.7084841
42:30,44.5302945,7.7021078
43:00,44.5244627,7.6957315
43:30,44.5186309,7.6893552
44:00,44.5127991,7.6829789
44:30,44.5069673,7.6766026
45:00,44.5011356,7.6702262
45:30,44.4953038,7.6638499
46:00,44.4894720,7.6574736
46:30,44.4836402,7.6510973
47:00,44.4778085,7.6447210
47:30,44.4719767,7.6383447
48:00,44.4661449,7.6319684
48:30,44.4603131,7.6255921
49:00,44.4544813,7.6192157
49:30,44.4486496,7.6128394
50:00,44.4428178,7.6064631
50:30,44.4369860,7.6000868
51:00,44.4311542,7.5937105
51:30,44.4253224,7.5873342
52:00,44.4194907,7.5809579
52:30,44.4136589,7.5745816
53:00,44.4078271,7.5682052
53:30,44.4019953,7.5618289
54:00,44.3961636,7.5554526
54:30,44.3903318,7.5490763
55:00,44.3845000,7.5427000
