time,latitude,longitude
00:00,45.0703000,7.6869000
00:30,45.0753640,7.6954793
01:00,45.0804279,7.7040586
01:30,45.0854919,7.7126379
02:00,45.0905558,7.7212171
02:30,45.0956198,7.7297964
03:00,45.1006837,7.7383757
03:30,45.1057477,7.7469550
04:00,45.1108116,7.7555343
04:30,45.1158756,7.7641136
05:00,45.1209396,7.7726929
05:30,45.1260035,7.7812722
06:00,45.1310675,7.7898514
06:30,45.1361314,7.7984307
07:00,45.1411954,7.8070100
07:30,45.1462593,7.8155893
08:00,45.1513233,7.8241686
08:30,45.1563872,7.8327479
09:00,45.1614512,7.8413272
09:30,45.1665151,7.8499065
10:00,45.1715791,7.8584857
10:30,45.1766431,7.8670650
11:00,45.1817070,7.8756443
11:30,45.1867710,7.8842236
12:00,45.1919459,7.8926790
12:30,45.1972081,7.9010369
13:00,45.1972081,7.9010369
13:30,45.1972081,7.9010369
14:00,45.1972081,7.9010369
14:30,45.1972081,7.9010369
15:00,45.2024703,7.9093948
15:30,45.2077324,7.9177528
16:00,45.2129946,7.9261107
16:30,45.2182568,7.9344686
17:00,45.2235190,7.9428266
17:30,45.2287812,7.9511845
18:00,45.2340433,7.9595424
18:30,45.2393055,7.9679003
19:00,45.2445677,7.9762583
19:30,45.2498299,7.9846162
20:00,45.2550921,7.9929741
20:30,45.2603543,8.0013321
21:00,45.2656164,8.0096900
21:30,45.2708786,8.0180479
22:00,45.2761408,8.0264059
22:30,45.2814030,8.0347638
23:00,45.2866652,8.0431217
23:30,45.2919273,8.0514797
24:00,45.2971895,8.0598376
24:30,45.3024517,8.0681955
25:00,45.3077139,8.0765534
25:30,45.3129761,8.0849114
26:00,45.3182383,8.0932693
26:30,45.3235004,8.1016272
27:00,45.3287626,8.1099852
27:30,45.3340248,8.1183431
28:00,45.3392870,8.1267010
28:30,45.3445492,8.1350590
29:00,45.3498113,8.1434169
29:30,45.3550735,8.1517748
30:00,45.3603357,8.1601328
30:30,45.3655979,8.1684907
31:00,45.3724516,8.1671693
31:30,45.3797765,8.1629820
32:00,45.3871015,8.1587947
32:30,45.3871015,8.1587947
33:00,45.3871015,8.1587947
33:30,45.3871015,8.1587947
34:00,45.3871015,8.1587947
34:30,45.3871015,8.1587947
35:00,45.3871015,8.1587947
35:30,45.3944264,8.1546074
36:00,45.4017514,8.1504202
36:30,45.4090763,8.1462329
37:00,45.4164012,8.1420456
37:30,45.4237262,8.1378583
38:00,45.4310511,8.1336710
38:30,45.4383760,8.1294838
39:00,45.4457010,8.1252965
39:30,45.4530259,8.1211092
40:00,45.4603509,8.1169219
40:30,45.4676758,8.1127346
41:00,45.4750007,8.1085474
41:30,45.4823257,8.1043601
42:00,45.4896506,8.1001728
42:30,45.4969756,8.0959855
43:00,45.5043005,8.0917982
43:30,45.5116254,8.0876110
44:00,45.5189504,8.0834237
44:30,45.5262753,8.0792364
45:00,45.5336002,8.0750491
45:30,45.5409252,8.0708618
46:00,45.5482501,8.0666746
46:30,45.5555751,8.0624873
47:00,45.5629000,8.0583000
